[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/Users/dsoojung/.pm2/pm2.log last 1000 lines:
PM2        | 2024-06-27T17:05:57: PM2 log: Stopping app:index id:0
PM2        | 2024-06-27T17:05:57: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-06-27T17:05:57: PM2 log: pid=82446 msg=process killed
PM2        | 2024-06-27T17:05:57: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-06-27T17:05:57: PM2 log: App [index:0] online
PM2        | 2024-06-28T16:21:47: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-06-28T16:21:47: PM2 log: [PM2] Upgrade to version 5.4.1
PM2        | 2024-06-29T16:27:20: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-06-29T16:27:20: PM2 log: [PM2] Upgrade to version 5.4.1
PM2        | 2024-06-30T16:45:41: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-06-30T16:45:41: PM2 log: [PM2] Upgrade to version 5.4.1
PM2        | 2024-07-09T16:51:53: PM2 log: ===============================================================================
PM2        | 2024-07-09T16:51:53: PM2 log: --- New PM2 Daemon started ----------------------------------------------------
PM2        | 2024-07-09T16:51:53: PM2 log: Time                 : Tue Jul 09 2024 16:51:53 GMT+0900 (대한민국 표준시)
PM2        | 2024-07-09T16:51:53: PM2 log: PM2 version          : 5.3.1
PM2        | 2024-07-09T16:51:53: PM2 log: Node.js version      : 20.11.1
PM2        | 2024-07-09T16:51:53: PM2 log: Current arch         : x64
PM2        | 2024-07-09T16:51:53: PM2 log: PM2 home             : /Users/dsoojung/.pm2
PM2        | 2024-07-09T16:51:53: PM2 log: PM2 PID file         : /Users/dsoojung/.pm2/pm2.pid
PM2        | 2024-07-09T16:51:53: PM2 log: RPC socket file      : /Users/dsoojung/.pm2/rpc.sock
PM2        | 2024-07-09T16:51:53: PM2 log: BUS socket file      : /Users/dsoojung/.pm2/pub.sock
PM2        | 2024-07-09T16:51:53: PM2 log: Application log path : /Users/dsoojung/.pm2/logs
PM2        | 2024-07-09T16:51:53: PM2 log: Worker Interval      : 30000
PM2        | 2024-07-09T16:51:53: PM2 log: Process dump file    : /Users/dsoojung/.pm2/dump.pm2
PM2        | 2024-07-09T16:51:53: PM2 log: Concurrent actions   : 2
PM2        | 2024-07-09T16:51:53: PM2 log: SIGTERM timeout      : 1600
PM2        | 2024-07-09T16:51:53: PM2 log: ===============================================================================
PM2        | 2024-07-09T17:23:45: PM2 log: App [server:0] starting in -fork mode-
PM2        | 2024-07-09T17:23:45: PM2 log: App [server:0] online
PM2        | 2024-07-09T17:24:56: PM2 log: Stopping app:server id:0
PM2        | 2024-07-09T17:24:56: PM2 log: App [server:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-07-09T17:24:56: PM2 log: pid=96377 msg=process killed
PM2        | 2024-07-09T17:25:14: PM2 log: App [server:1] starting in -fork mode-
PM2        | 2024-07-09T17:25:14: PM2 log: App [server:1] online
PM2        | 2024-07-10T07:30:00: PM2 log: Stopping app:server id:1
PM2        | 2024-07-10T07:30:00: PM2 log: App [server:1] exited with code [0] via signal [SIGINT]
PM2        | 2024-07-10T07:30:00: PM2 log: pid=97507 msg=process killed
PM2        | 2024-07-10T16:58:00: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-10T16:58:00: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-11T16:57:51: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-11T16:57:51: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-12T16:57:53: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-12T16:57:53: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-13T17:08:28: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-13T17:08:28: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-14T18:04:02: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-14T18:04:02: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-15T18:04:02: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-15T18:04:02: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-16T18:04:05: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-16T18:04:05: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-17T19:31:27: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-17T19:31:27: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-18T19:31:27: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-18T19:31:27: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-19T13:48:13: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-07-19T13:48:13: PM2 log: App [index:0] online
PM2        | 2024-07-19T13:48:34: PM2 log: Stopping app:index id:0
PM2        | 2024-07-19T13:48:34: PM2 log: App [index:0] exited with code [0] via signal [SIGINT]
PM2        | 2024-07-19T13:48:34: PM2 log: pid=89359 msg=process killed
PM2        | 2024-07-19T13:48:45: PM2 log: App [index:0] starting in -fork mode-
PM2        | 2024-07-19T13:48:45: PM2 log: App [index:0] online
PM2        | 2024-07-19T19:46:47: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-19T19:46:47: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-20T19:49:13: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-20T19:49:13: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-21T19:55:30: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-21T19:55:30: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-22T19:55:30: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-22T19:55:30: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-23T19:55:32: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-23T19:55:32: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-24T19:56:21: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-24T19:56:21: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-25T19:56:24: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-25T19:56:24: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-26T19:56:25: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-26T19:56:25: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-27T19:59:53: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-27T19:59:53: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-28T20:02:31: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-28T20:02:31: PM2 log: [PM2] Upgrade to version 5.4.2
PM2        | 2024-07-29T20:09:06: PM2 log: [PM2] This PM2 is not UP TO DATE
PM2        | 2024-07-29T20:09:06: PM2 log: [PM2] Upgrade to version 5.4.2
